👀 O Handbook do Duolingo vai ser o novo "modelo Spotify"? - Papo na Arena #71                      , NA                                                                           , https://www.youtube.com/watch?v=gm2dPWh8wv0       ,                                            ,                                            ,   ,
Nossas experiências construindo apps com AI - já dá pra mandar embora os devs? | Papo na Arena #70  , NA                                                                           , https://www.youtube.com/watch?v=DQvBEbF4fUs       ,                                            ,                                            ,   ,
Criando comunidades                                                                                 , mat@ndo features                                                             , priorizando no-code                               , com Beatriz Kinguti                        , CPO da Liti saúde                          , NA, https://www.youtube.com/watch?v=_CpDJp1-EMU
DeepSeek para Leigos: o modelo chinês que chegou para causar! | Papo na Arena #68                   , NA                                                                           , https://www.youtube.com/watch?v=uNwjPQLjKMI       ,                                            ,                                            ,   ,
A importância dos "selos" na carreira de produtos e a hora dos generalistas | Papo na Arena #67     , NA                                                                           , https://www.youtube.com/watch?v=n5tp6fN1V0k       ,                                            ,                                            ,   ,
Dicas para ter conversas difíceis & Como fazer protótipos com AI - Papo na Arena #66                , NA                                                                           , https://www.youtube.com/watch?v=EhubWDEdE9k       ,                                            ,                                            ,   ,
As previsões - que ninguém pediu - sobre Produto                                                    , AI e mercado tech em 2025 - Papo na Arena #65                                , NA                                                , https://www.youtube.com/watch?v=MkY8Fk2Zen0,                                            ,   ,
Retrospectiva Produteira 2024: Foi um péssimo ano para a área de produto? - Papo na Arena 64        , NA                                                                           , https://www.youtube.com/watch?v=dzNgj2BeBPw       ,                                            ,                                            ,   ,
Chegou ao fim a camada de GPMs? | Papo na Arena #63                                                 , NA                                                                           , https://www.youtube.com/watch?v=dDHf0Ku0OSw       ,                                            ,                                            ,   ,
Comunicação executiva & Como dar melhores feedbacks de design? | Papo na Aren #62                   , NA                                                                           , https://www.youtube.com/watch?v=Dv8PE958MJ4       ,                                            ,                                            ,   ,
Como saber e quais os sinais se um produto vai dar bom ou não? 🤨                                   , NA                                                                           , https://www.youtube.com/watch?v=A6JYg0vm7Hw       ,                                            ,                                            ,   ,
Quem cria a visão de Produto? | Papo na Arena #60                                                   , NA                                                                           , https://www.youtube.com/watch?v=RWLPKIsZrxE       ,                                            ,                                            ,   ,
O que chefões da OpenAI                                                                             , Anthropic e Perplexity pensam sobre AI como produto | Papo na Arena #59      , NA                                                , https://www.youtube.com/watch?v=hp_L2ASyrqg,                                            ,   ,
Como foi o Lenny & Friends Summit? Com Fernanda Faria-Product Director @ ABInBev | Papo na Arena #58, NA                                                                           , https://www.youtube.com/watch?v=5z4cqkC9COA       ,                                            ,                                            ,   ,
Reflexões sobre fazer o básico bem feito | Papo na Arena #57                                        , NA                                                                           , https://www.youtube.com/watch?v=PkJf-kVxuuk       ,                                            ,                                            ,   ,
Carreira internacional                                                                              , Mulheres na Liderança e Maternidade - Gisele Góes (Chime) - Papo na Arena 56 , NA                                                , https://www.youtube.com/watch?v=Hk7_LnFe6hY,                                            ,   ,
[Private video]                                                                                     , NA                                                                           , https://www.youtube.com/watch?v=H29eZuYAtzY       ,                                            ,                                            ,   ,
[Private video]                                                                                     , NA                                                                           , https://www.youtube.com/watch?v=g8fGy44tyQI       ,                                            ,                                            ,   ,
[Private video]                                                                                     , NA                                                                           , https://www.youtube.com/watch?v=U6ISOpXU1oU       ,                                            ,                                            ,   ,
[Private video]                                                                                     , NA                                                                           , https://www.youtube.com/watch?v=zUz1lEyD7nE       ,                                            ,                                            ,   ,
Gestão de Plataformas e APIs para PMs não técnicos - um papo com Sheila Chang | Papo na Arena #55   , NA                                                                           , https://www.youtube.com/watch?v=PcANWhQEMWo       ,                                            ,                                            ,   ,
Smartglasses vão ser a "next big thing"? Um papo com Nina Talks - Papo na Arena #54                 , NA                                                                           , https://www.youtube.com/watch?v=MJThbV2c6rE       ,                                            ,                                            ,   ,
Highlights do Product Leader Summit 2024 | Papo na Arena #53                                        , NA                                                                           , https://www.youtube.com/watch?v=3Mw7wlIfqUc       ,                                            ,                                            ,   ,
